transaction_id,transaction_date,vendor_id,department,payment_method,amount,approved
TXN00098,2025-02-05 08:14:24.864864865,Vendor_082,HR,Card,2158.31,Yes
TXN00099,2025-02-05 16:59:05.945945946,Vendor_053,Sales,Cheque,1388.39,Yes
TXN00100,2025-02-06 01:43:47.027027027,Vendor_024,Operations,Bank Transfer,4183.4,Yes
TXN00101,2025-02-06 10:28:28.108108108,Vendor_026,Operations,Card,15522.1,Yes
TXN00102,2025-02-06 19:13:09.189189189,Vendor_089,Finance,Cheque,1268.99,Yes
TXN00103,2025-02-07 03:57:50.270270270,Vendor_060,Sales,Card,3039.28,Yes
TXN00104,2025-02-07 12:42:31.351351351,Vendor_041,HR,Bank Transfer,9225.96,Yes
TXN00105,2025-02-07 21:27:12.432432432,Vendor_029,IT,Cheque,2796.96,Yes
TXN00106,2025-02-08 06:11:53.513513513,Vendor_015,Procurement,Bank Transfer,4280.81,Yes
TXN00107,2025-02-08 14:56:34.594594594,Vendor_045,Finance,Bank Transfer,1274.21,Yes
TXN00108,2025-02-08 23:41:15.675675676,Vendor_065,Operations,Card,4199.18,Yes
TXN00109,2025-02-09 08:25:56.756756757,Vendor_089,IT,Cheque,2566.46,Yes
TXN00110,2025-02-09 17:10:37.837837838,Vendor_071,IT,Bank Transfer,6558.94,Yes
TXN00111,2025-02-10 01:55:18.918918919,Vendor_009,Procurement,Bank Transfer,7707.19,Yes
TXN00112,2025-02-10 10:40:00.000000000,Vendor_088,Sales,Cheque,23662.6,Yes
TXN00113,2025-02-10 19:24:41.081081081,Vendor_001,Operations,Bank Transfer,4739.59,Yes
TXN00114,2025-02-11 04:09:22.162162162,Vendor_008,HR,Bank Transfer,3868.56,Yes
TXN00115,2025-02-11 12:54:03.243243243,Vendor_088,IT,Cheque,3482.51,Yes
TXN00116,2025-02-11 21:38:44.324324324,Vendor_063,Procurement,Cheque,2247.26,Yes
TXN00117,2025-02-12 06:23:25.405405405,Vendor_011,HR,Cheque,3908.02,Yes
TXN00118,2025-02-12 15:08:06.486486486,Vendor_081,Sales,Cheque,2353.55,Yes
TXN00119,2025-02-12 23:52:47.567567567,Vendor_008,Operations,Card,3411.03,Yes
TXN00120,2025-02-13 08:37:28.648648649,Vendor_035,Sales,Cheque,8553.35,Yes
TXN00121,2025-02-13 17:22:09.729729730,Vendor_035,IT,Card,1332.44,Yes
TXN00122,2025-02-14 02:06:50.810810811,Vendor_033,HR,Card,7419.77,Yes
TXN00123,2025-02-14 10:51:31.891891892,Vendor_005,HR,Card,8550.05,Yes
TXN00124,2025-02-14 19:36:12.972972973,Vendor_041,HR,Bank Transfer,2712.28,Yes
TXN00125,2025-02-15 04:20:54.054054054,Vendor_028,IT,Card,545.94,Yes
TXN00126,2025-02-15 13:05:35.135135135,Vendor_007,IT,Card,1833.06,Yes
TXN00127,2025-02-15 21:50:16.216216216,Vendor_073,Sales,Bank Transfer,8413.52,Yes
TXN00128,2025-02-16 06:34:57.297297297,Vendor_072,Finance,Bank Transfer,2926.92,Yes
TXN00129,2025-02-16 15:19:38.378378378,Vendor_012,Sales,Bank Transfer,1340.18,Yes
TXN00130,2025-02-17 00:04:19.459459459,Vendor_034,Operations,Cheque,1990.58,Yes
TXN00131,2025-02-17 08:49:00.540540540,Vendor_033,Procurement,Bank Transfer,5840.06,Yes
TXN00132,2025-02-17 17:33:41.621621621,Vendor_048,HR,Bank Transfer,4616.48,Yes
TXN00133,2025-02-18 02:18:22.702702703,Vendor_023,Finance,Card,2462.31,Yes
TXN00134,2025-02-18 11:03:03.783783784,Vendor_062,Procurement,Bank Transfer,2222.84,Yes
TXN00135,2025-02-18 19:47:44.864864865,Vendor_088,Finance,Cheque,2178.94,Yes
TXN00136,2025-02-19 04:32:25.945945946,Vendor_037,Sales,Bank Transfer,1425.21,Yes
TXN00137,2025-02-19 13:17:07.027027027,Vendor_099,IT,Cheque,10854.13,Yes
TXN00138,2025-02-19 22:01:48.108108108,Vendor_044,HR,Bank Transfer,2303.4,Yes
TXN00139,2025-02-20 06:46:29.189189189,Vendor_086,Sales,Bank Transfer,7892.96,Yes
TXN00140,2025-02-20 15:31:10.270270270,Vendor_091,Procurement,Bank Transfer,10067.35,Yes
TXN00141,2025-02-21 00:15:51.351351351,Vendor_035,Procurement,Bank Transfer,6625.29,Yes
TXN00142,2025-02-21 09:00:32.432432432,Vendor_065,Procurement,Cheque,2110.55,Yes
TXN00143,2025-02-21 17:45:13.513513513,Vendor_099,Procurement,Cheque,4117.43,Yes
TXN00144,2025-02-22 02:29:54.594594594,Vendor_047,Procurement,Card,2923.81,Yes
TXN00145,2025-02-22 11:14:35.675675676,Vendor_078,Finance,Cheque,1446.7,No
TXN00146,2025-02-22 19:59:16.756756757,Vendor_003,Sales,Bank Transfer,3864.11,Yes
TXN00147,2025-02-23 04:43:57.837837838,Vendor_001,HR,Card,1160.69,Yes
TXN00148,2025-02-23 13:28:38.918918919,Vendor_005,IT,Card,7709.0,Yes
TXN00149,2025-02-23 22:13:20.000000000,Vendor_090,IT,Card,2055.57,Yes
TXN00150,2025-02-24 06:58:01.081081081,Vendor_014,Sales,Bank Transfer,3501.43,Yes
TXN00151,2025-02-24 15:42:42.162162162,Vendor_027,Sales,Cheque,3739.21,Yes
TXN00152,2025-02-25 00:27:23.243243243,Vendor_009,IT,Bank Transfer,2423.28,Yes
TXN00153,2025-02-25 09:12:04.324324324,Vendor_079,IT,Card,4766.44,Yes
TXN00154,2025-02-25 17:56:45.405405406,Vendor_015,Finance,Bank Transfer,2038.72,Yes
TXN00155,2025-02-26 02:41:26.486486487,Vendor_090,Operations,Bank Transfer,5985.16,Yes
TXN00156,2025-02-26 11:26:07.567567568,Vendor_042,HR,Cheque,1015.58,Yes
TXN00157,2025-02-26 20:10:48.648648649,Vendor_077,Procurement,Cheque,3298.11,Yes
TXN00158,2025-02-27 04:55:29.729729730,Vendor_051,Operations,Card,14060.76,Yes
TXN00159,2025-02-27 13:40:10.810810811,Vendor_063,Sales,Bank Transfer,1339.08,Yes
TXN00160,2025-02-27 22:24:51.891891892,Vendor_096,IT,Bank Transfer,1733.34,Yes
TXN00161,2025-02-28 07:09:32.972972973,Vendor_052,Operations,Cheque,4496.82,Yes
TXN00162,2025-02-28 15:54:14.054054054,Vendor_096,HR,Bank Transfer,3441.51,Yes
TXN00163,2025-03-01 00:38:55.135135135,Vendor_004,Sales,Bank Transfer,3946.18,Yes
TXN00164,2025-03-01 09:23:36.216216216,Vendor_094,Procurement,Bank Transfer,4408.76,Yes
TXN00165,2025-03-01 18:08:17.297297297,Vendor_023,Procurement,Cheque,4953.14,Yes
TXN00166,2025-03-02 02:52:58.378378379,Vendor_015,HR,Card,7242.78,Yes
TXN00167,2025-03-02 11:37:39.459459460,Vendor_043,HR,Card,4137.53,Yes
TXN00168,2025-03-02 20:22:20.540540541,Vendor_029,IT,Bank Transfer,2457.73,Yes
TXN00169,2025-03-03 05:07:01.621621622,Vendor_036,Procurement,Card,5105.42,Yes
TXN00170,2025-03-03 13:51:42.702702703,Vendor_013,Sales,Cheque,13628.32,Yes
TXN00171,2025-03-03 22:36:23.783783784,Vendor_032,Operations,Cheque,2680.86,Yes
TXN00172,2025-03-04 07:21:04.864864865,Vendor_071,Sales,Card,1367.0,Yes
TXN00173,2025-03-04 16:05:45.945945946,Vendor_059,Finance,Card,7227.62,Yes
TXN00174,2025-03-05 00:50:27.027027027,Vendor_086,Finance,Bank Transfer,2707.27,Yes
TXN00175,2025-03-05 09:35:08.108108108,Vendor_028,HR,Card,524.2,Yes
TXN00176,2025-03-05 18:19:49.189189189,Vendor_066,IT,Bank Transfer,5871.92,No
TXN00177,2025-03-06 03:04:30.270270270,Vendor_042,Finance,Bank Transfer,1942.51,Yes
TXN00178,2025-03-06 11:49:11.351351352,Vendor_045,Procurement,Cheque,2772.69,Yes
TXN00179,2025-03-06 20:33:52.432432433,Vendor_062,Sales,Cheque,3887.74,Yes
TXN00180,2025-03-07 05:18:33.513513514,Vendor_057,Sales,Cheque,3471.7,Yes
TXN00181,2025-03-07 14:03:14.594594595,Vendor_006,HR,Cheque,5258.29,Yes
TXN00182,2025-03-07 22:47:55.675675676,Vendor_028,Operations,Card,2104.03,Yes
TXN00183,2025-03-08 07:32:36.756756757,Vendor_028,HR,Cheque,4493.94,No
TXN00184,2025-03-08 16:17:17.837837838,Vendor_044,Operations,Card,2422.03,Yes
TXN00185,2025-03-09 01:01:58.918918919,Vendor_084,HR,Cheque,5383.25,Yes
TXN00186,2025-03-09 09:46:40.000000000,Vendor_030,HR,Card,4877.04,Yes
TXN00187,2025-03-09 18:31:21.081081081,Vendor_062,HR,Bank Transfer,1410.43,Yes
TXN00188,2025-03-10 03:16:02.162162162,Vendor_075,Operations,Card,7106.65,No
TXN00189,2025-03-10 12:00:43.243243243,Vendor_092,Operations,Card,1941.53,Yes
TXN00190,2025-03-10 20:45:24.324324325,Vendor_089,HR,Cheque,5689.89,Yes
TXN00191,2025-03-11 05:30:05.405405406,Vendor_062,Finance,Card,3999.12,Yes
TXN00192,2025-03-11 14:14:46.486486487,Vendor_097,IT,Bank Transfer,12971.98,Yes
TXN00193,2025-03-11 22:59:27.567567568,Vendor_001,IT,Bank Transfer,2492.96,Yes
TXN00194,2025-03-12 07:44:08.648648649,Vendor_027,IT,Cheque,2254.19,Yes
TXN00195,2025-03-12 16:28:49.729729730,Vendor_062,Operations,Bank Transfer,2935.0,Yes
TXN00196,2025-03-13 01:13:30.810810811,Vendor_077,Operations,Card,2338.95,Yes
TXN00197,2025-03-13 09:58:11.891891892,Vendor_003,Finance,Bank Transfer,5653.07,Yes
TXN00198,2025-03-13 18:42:52.972972973,Vendor_070,IT,Cheque,818.07,Yes
TXN00199,2025-03-14 03:27:34.054054054,Vendor_072,IT,Card,1283.13,Yes
TXN00200,2025-03-14 12:12:15.135135135,Vendor_027,HR,Cheque,1268.71,Yes
TXN00201,2025-03-14 20:56:56.216216216,Vendor_009,Operations,Card,6375.68,Yes
TXN00202,2025-03-15 05:41:37.297297297,Vendor_062,IT,Bank Transfer,11713.42,Yes
TXN00203,2025-03-15 14:26:18.378378379,Vendor_037,Sales,Cheque,2741.99,Yes
TXN00204,2025-03-15 23:10:59.459459460,Vendor_097,Finance,Cheque,2604.36,Yes
TXN00205,2025-03-16 07:55:40.540540541,Vendor_051,Sales,Card,3152.79,Yes
TXN00206,2025-03-16 16:40:21.621621622,Vendor_044,Sales,Cheque,7551.51,Yes
TXN00207,2025-03-17 01:25:02.702702703,Vendor_024,Finance,Card,1419.58,Yes
TXN00208,2025-03-17 10:09:43.783783784,Vendor_079,Sales,Card,3607.23,Yes
TXN00209,2025-03-17 18:54:24.864864865,Vendor_059,IT,Card,6503.91,Yes
TXN00210,2025-03-18 03:39:05.945945946,Vendor_032,Operations,Card,4450.96,Yes
TXN00211,2025-03-18 12:23:47.027027027,Vendor_096,Finance,Bank Transfer,3469.15,Yes
TXN00212,2025-03-18 21:08:28.108108108,Vendor_088,HR,Card,6639.8,No
TXN00213,2025-03-19 05:53:09.189189189,Vendor_052,Sales,Cheque,342.89,Yes
TXN00214,2025-03-19 14:37:50.270270270,Vendor_062,Finance,Bank Transfer,5127.12,Yes
TXN00215,2025-03-19 23:22:31.351351352,Vendor_058,Procurement,Cheque,1766.47,Yes
TXN00216,2025-03-20 08:07:12.432432433,Vendor_052,Procurement,Bank Transfer,689.17,Yes
TXN00217,2025-03-20 16:51:53.513513514,Vendor_012,Operations,Card,4487.1,Yes
TXN00218,2025-03-21 01:36:34.594594595,Vendor_039,IT,Bank Transfer,8945.69,Yes
TXN00219,2025-03-21 10:21:15.675675676,Vendor_002,Operations,Bank Transfer,2670.55,No
TXN00220,2025-03-21 19:05:56.756756757,Vendor_003,Operations,Cheque,6388.79,No
TXN00221,2025-03-22 03:50:37.837837838,Vendor_056,Operations,Cheque,10827.26,Yes
TXN00222,2025-03-22 12:35:18.918918919,Vendor_081,Operations,Card,8535.01,Yes
TXN00223,2025-03-22 21:20:00.000000000,Vendor_059,HR,Bank Transfer,11069.75,Yes
TXN00224,2025-03-23 06:04:41.081081081,Vendor_002,HR,Bank Transfer,5397.56,No
TXN00225,2025-03-23 14:49:22.162162162,Vendor_002,Finance,Bank Transfer,3166.39,No
TXN00226,2025-03-23 23:34:03.243243243,Vendor_092,Procurement,Card,827.52,Yes
TXN00227,2025-03-24 08:18:44.324324325,Vendor_054,Operations,Card,2448.3,Yes
TXN00228,2025-03-24 17:03:25.405405406,Vendor_087,Finance,Card,1518.39,Yes
TXN00229,2025-03-25 01:48:06.486486487,Vendor_096,Procurement,Card,16928.51,Yes
TXN00230,2025-03-25 10:32:47.567567568,Vendor_097,Sales,Card,2589.68,Yes
TXN00231,2025-03-25 19:17:28.648648649,Vendor_001,IT,Cheque,3289.74,Yes
TXN00232,2025-03-26 04:02:09.729729730,Vendor_019,HR,Bank Transfer,4634.06,Yes
TXN00233,2025-03-26 12:46:50.810810811,Vendor_002,Sales,Bank Transfer,3086.77,Yes
TXN00234,2025-03-26 21:31:31.891891892,Vendor_053,Procurement,Bank Transfer,11568.5,Yes
TXN00235,2025-03-27 06:16:12.972972973,Vendor_044,Sales,Bank Transfer,1811.45,No
TXN00236,2025-03-27 15:00:54.054054054,Vendor_090,IT,Bank Transfer,3483.13,Yes
TXN00237,2025-03-27 23:45:35.135135135,Vendor_032,Procurement,Bank Transfer,1645.87,Yes
TXN00238,2025-03-28 08:30:16.216216216,Vendor_070,Sales,Bank Transfer,1036.89,Yes
TXN00239,2025-03-28 17:14:57.297297298,Vendor_032,HR,Bank Transfer,1827.28,Yes
TXN00240,2025-03-29 01:59:38.378378379,Vendor_068,HR,Cheque,2893.93,Yes
TXN00241,2025-03-29 10:44:19.459459460,Vendor_055,Finance,Bank Transfer,2114.47,Yes
TXN00242,2025-03-29 19:29:00.540540541,Vendor_075,Sales,Cheque,1713.11,Yes
TXN00243,2025-03-30 04:13:41.621621622,Vendor_056,Operations,Card,967.72,Yes
TXN00244,2025-03-30 12:58:22.702702703,Vendor_017,Sales,Bank Transfer,2789.22,Yes
TXN00245,2025-03-30 21:43:03.783783784,Vendor_038,Procurement,Card,894.46,Yes
TXN00246,2025-03-31 06:27:44.864864865,Vendor_024,Procurement,Card,5475.53,Yes
TXN00247,2025-03-31 15:12:25.945945946,Vendor_069,Sales,Card,3184.19,Yes
TXN00248,2025-03-31 23:57:07.027027027,Vendor_098,IT,Cheque,928.86,Yes
TXN00249,2025-04-01 08:41:48.108108108,Vendor_070,HR,Card,2327.69,Yes
TXN00250,2025-04-01 17:26:29.189189189,Vendor_086,Procurement,Card,1633.16,Yes
TXN00251,2025-04-02 02:11:10.270270271,Vendor_011,HR,Card,3848.12,Yes
TXN00252,2025-04-02 10:55:51.351351352,Vendor_016,Procurement,Bank Transfer,8711.16,Yes
TXN00253,2025-04-02 19:40:32.432432433,Vendor_097,Finance,Bank Transfer,665.05,Yes
TXN00254,2025-04-03 04:25:13.513513514,Vendor_073,Operations,Cheque,3268.29,Yes
TXN00255,2025-04-03 13:09:54.594594595,Vendor_059,Procurement,Cheque,2622.53,Yes
TXN00256,2025-04-03 21:54:35.675675676,Vendor_070,HR,Bank Transfer,5100.39,Yes
TXN00257,2025-04-04 06:39:16.756756757,Vendor_080,Finance,Cheque,3535.31,No
TXN00258,2025-04-04 15:23:57.837837838,Vendor_093,Procurement,Bank Transfer,1633.41,Yes
TXN00259,2025-04-05 00:08:38.918918919,Vendor_003,IT,Card,2309.43,Yes
TXN00260,2025-04-05 08:53:20.000000000,Vendor_020,Operations,Card,1576.84,Yes
TXN00261,2025-04-05 17:38:01.081081081,Vendor_059,Procurement,Cheque,7050.16,Yes
TXN00262,2025-04-06 02:22:42.162162162,Vendor_036,Finance,Bank Transfer,3032.22,Yes
TXN00263,2025-04-06 11:07:23.243243243,Vendor_019,IT,Bank Transfer,13642.6,Yes
TXN00264,2025-04-06 19:52:04.324324325,Vendor_090,Sales,Cheque,2839.75,No
TXN00265,2025-04-07 04:36:45.405405406,Vendor_067,Finance,Bank Transfer,1691.34,Yes
TXN00266,2025-04-07 13:21:26.486486487,Vendor_019,Finance,Card,888.05,Yes
TXN00267,2025-04-07 22:06:07.567567568,Vendor_020,IT,Cheque,704.5,Yes
TXN00268,2025-04-08 06:50:48.648648649,Vendor_096,Finance,Cheque,839.4,Yes
TXN00269,2025-04-08 15:35:29.729729730,Vendor_071,IT,Bank Transfer,3691.18,Yes
TXN00270,2025-04-09 00:20:10.810810811,Vendor_052,Procurement,Cheque,4478.22,Yes
TXN00271,2025-04-09 09:04:51.891891892,Vendor_033,IT,Bank Transfer,841.38,Yes
TXN00272,2025-04-09 17:49:32.972972973,Vendor_040,IT,Bank Transfer,6099.92,Yes
TXN00273,2025-04-10 02:34:14.054054054,Vendor_039,Operations,Bank Transfer,2025.46,Yes
TXN00274,2025-04-10 11:18:55.135135135,Vendor_082,IT,Bank Transfer,3352.41,Yes
TXN00275,2025-04-10 20:03:36.216216216,Vendor_001,IT,Bank Transfer,10826.76,Yes
TXN00276,2025-04-11 04:48:17.297297298,Vendor_011,Sales,Cheque,6108.71,Yes
TXN00277,2025-04-11 13:32:58.378378379,Vendor_092,Procurement,Card,2404.69,Yes
TXN00278,2025-04-11 22:17:39.459459460,Vendor_057,Operations,Card,1461.25,Yes
TXN00279,2025-04-12 07:02:20.540540541,Vendor_089,Sales,Cheque,533.01,Yes
TXN00280,2025-04-12 15:47:01.621621622,Vendor_050,HR,Cheque,1676.86,Yes
TXN00281,2025-04-13 00:31:42.702702703,Vendor_023,Procurement,Card,2517.69,Yes
TXN00282,2025-04-13 09:16:23.783783784,Vendor_031,Procurement,Card,1353.24,Yes
TXN00283,2025-04-13 18:01:04.864864865,Vendor_094,HR,Card,2683.81,No
TXN00284,2025-04-14 02:45:45.945945946,Vendor_042,IT,Card,3169.98,Yes
TXN00285,2025-04-14 11:30:27.027027027,Vendor_099,Sales,Card,2490.19,Yes
TXN00286,2025-04-14 20:15:08.108108108,Vendor_007,Finance,Bank Transfer,1772.24,Yes
TXN00287,2025-04-15 04:59:49.189189189,Vendor_016,Operations,Cheque,3411.56,No
TXN00288,2025-04-15 13:44:30.270270270,Vendor_090,Finance,Bank Transfer,4245.24,Yes
TXN00289,2025-04-15 22:29:11.351351352,Vendor_060,HR,Card,1245.98,Yes
TXN00290,2025-04-16 07:13:52.432432432,Vendor_002,Procurement,Card,9216.46,Yes
