transaction_id,transaction_date,vendor_id,department,payment_method,amount,approved,high_value_flag,approval_exception_flag,duplicate_flag,risk_score,risk_level
TXN00041,2025-01-15 13:47:23.243243243,Vendor_062,Sales,Bank Transfer,1656.28,No,False,True,False,3,High
TXN00848,2025-11-05 14:47:55.675675676,Vendor_054,Procurement,Cheque,1624.9,No,False,True,False,3,High
TXN00145,2025-02-22 11:14:35.675675676,Vendor_078,Finance,Cheque,1446.7,No,False,True,False,3,High
TXN00737,2025-09-26 04:07:55.675675676,Vendor_015,Procurement,Card,1249.13,No,False,True,False,3,High
TXN00831,2025-10-30 10:08:17.297297300,Vendor_077,IT,Cheque,1220.21,No,False,True,False,3,High
TXN00556,2025-07-22 05:20:00.000000000,Vendor_012,Finance,Cheque,1198.63,No,False,True,False,3,High
TXN00371,2025-05-15 19:33:20.000000000,Vendor_046,IT,Bank Transfer,1146.95,No,False,True,False,3,High
TXN00617,2025-08-13 10:45:45.945945948,Vendor_059,Procurement,Bank Transfer,1087.75,No,False,True,False,3,High
TXN00666,2025-08-31 07:15:18.918918920,Vendor_042,HR,Bank Transfer,1059.32,No,False,True,False,3,High
TXN00840,2025-11-02 16:50:27.027027028,Vendor_039,IT,Cheque,1031.9,No,False,True,False,3,High
TXN00816,2025-10-24 22:58:01.081081080,Vendor_003,Sales,Card,999.48,No,False,True,False,3,High
TXN00887,2025-11-19 19:50:37.837837840,Vendor_056,Operations,Bank Transfer,875.78,No,False,True,False,3,High
TXN00031,2025-01-11 22:20:32.432432432,Vendor_091,IT,Card,854.03,No,False,True,False,3,High
TXN00467,2025-06-19 19:03:03.783783784,Vendor_040,IT,Cheque,655.31,No,False,True,False,3,High
TXN00952,2025-12-13 12:15:08.108108108,Vendor_026,Sales,Cheque,641.79,No,False,True,False,3,High
TXN00695,2025-09-10 20:51:10.270270272,Vendor_039,IT,Bank Transfer,616.41,No,False,True,False,3,High
TXN00389,2025-05-22 08:57:39.459459460,Vendor_018,Sales,Card,393.77,No,False,True,False,3,High
TXN00101,2025-02-06 10:28:28.108108108,Vendor_026,Operations,Card,15522.1,Yes,False,False,True,2,Medium
TXN_DUP_001,2025-02-06 10:28:28.108108108,Vendor_026,Operations,Card,15522.1,Yes,False,False,True,2,Medium
TXN00102,2025-02-06 19:13:09.189189189,Vendor_089,Finance,Cheque,1268.99,Yes,False,False,True,2,Medium
TXN_DUP_002,2025-02-06 19:13:09.189189189,Vendor_089,Finance,Cheque,1268.99,Yes,False,False,True,2,Medium
